id,value
id_0,5.174960398984723
id_1,18.30621425352784
id_2,20.491218094180518
id_3,11.523942869805346
id_4,26.616056752306143
id_5,20.531348081761173
id_6,21.906551018797387
id_7,31.736468747068816
id_8,13.39167405511169
id_9,64.4564665029195
id_10,20.264568836159455
id_11,15.358576077361239
id_12,68.58947276926729
id_13,48.42811374745714
id_14,18.702333824193182
id_15,10.188595737466692
id_16,30.740362859820433
id_17,71.13221776355113
id_18,-4.130517391262478
id_19,18.235694016428706
id_20,38.57892227500774
id_21,71.3115197253133
id_22,7.410348162634103
id_23,18.717955330321423
id_24,14.93725026008455
id_25,36.71973669470527
id_26,17.961697005662682
id_27,75.78946287210543
id_28,12.309310248614494
id_29,56.295351739649554
id_30,25.113160865661495
id_31,4.610248674094022
id_32,2.483770554515047
id_33,24.759422261321262
id_34,30.48028046559119
id_35,38.46393074642667
id_36,44.202310609330056
id_37,30.08683601986595
id_38,40.47367501574003
id_39,29.226479902317326
id_40,5.606456054343948
id_41,38.66601607878963
id_42,34.61021343187722
id_43,48.389697507384774
id_44,14.757247666944156
id_45,34.466820110872085
id_46,27.483106874184365
id_47,12.000879378154075
id_48,21.378036151603727
id_49,28.544403091663224
id_50,20.16551381841158
id_51,10.796678149746523
id_52,22.17103575575016
id_53,53.44626310935224
id_54,12.219581121609956
id_55,43.30096845517151
id_56,32.18233510328544
id_57,22.567217514570807
id_58,56.73951416554705
id_59,20.74505294529545
id_60,15.028854557473238
id_61,39.85530159038511
id_62,12.975340680728321
id_63,51.74165959283005
id_64,18.783369632539888
id_65,12.3487528427777
id_66,15.63362365354186
id_67,-0.05887147068501797
id_68,41.508011073075906
id_69,31.54874753065598
id_70,18.604251157547058
id_71,37.47681972488067
id_72,56.52039065762299
id_73,6.587877193521958
id_74,12.229339737435001
id_75,5.203696404134668
id_76,47.92737510380054
id_77,13.020705685594661
id_78,17.110301693903594
id_79,20.60323453100203
id_80,21.284481560784577
id_81,38.692935290511755
id_82,30.020716675725808
id_83,88.76740666723542
id_84,35.984700239668285
id_85,26.756913553477155
id_86,23.96351684356435
id_87,32.74724282808308
id_88,22.18904375531993
id_89,20.992158853626577
id_90,29.555994316645403
id_91,40.99216886651777
id_92,8.62511780991155
id_93,32.321471808877874
id_94,46.59804436536756
id_95,22.884070826723537
id_96,31.518129728251616
id_97,11.19823347976609
id_98,28.52743664252963
id_99,0.29115068008964506
id_100,17.966961079539686
id_101,27.124163929470157
id_102,11.398232780652837
id_103,16.42642686567353
id_104,23.425261046922273
id_105,40.616082670568396
id_106,25.86412502656033
id_107,5.422736951672356
id_108,10.79492112225614
id_109,72.86213692992126
id_110,48.022837059481375
id_111,15.746808276902982
id_112,24.670410614177953
id_113,12.827793326536725
id_114,10.15805757024043
id_115,27.269223342020982
id_116,29.208738577932436
id_117,8.835339619930679
id_118,20.051088137129746
id_119,20.21233374376425
id_120,79.90600929870558
id_121,18.0616142882636
id_122,30.542809341304306
id_123,25.980792377727994
id_124,5.212577268164751
id_125,30.35569730585616
id_126,7.768322888914643
id_127,15.328268255393326
id_128,22.666365717697936
id_129,62.74205421109003
id_130,18.95078036798796
id_131,19.076355630838528
id_132,61.37157409163707
id_133,15.88456205262965
id_134,13.409418077705553
id_135,0.8487724836112864
id_136,7.834996717304133
id_137,57.01282901179674
id_138,25.607996751813815
id_139,4.961704729242067
id_140,36.41487903906274
id_141,28.7900067219759
id_142,49.19412096197634
id_143,40.306869855734476
id_144,13.316180593982622
id_145,27.661011875229164
id_146,17.158027524366773
id_147,49.68726256929679
id_148,23.03027229160477
id_149,39.24093652484275
id_150,13.196753889412559
id_151,5.94889370103941
id_152,25.821608976304248
id_153,8.258634214291643
id_154,19.146320517225597
id_155,43.1824865265167
id_156,6.717843578093028
id_157,33.86961524681064
id_158,15.36993784698187
id_159,16.939044973551862
id_160,37.88533679463483
id_161,19.20248454105441
id_162,9.059504715654713
id_163,10.283399610648509
